geoid,state,county
17011,Illinois,Bureau
17013,Illinois,Calhoun
17015,Illinois,Carroll
17017,Illinois,Cass
17019,Illinois,Champaign
17021,Illinois,Christian
17023,Illinois,Clark
17025,Illinois,Clay
17027,Illinois,Clinton
17029,Illinois,Coles
17031,Illinois,Cook
17033,Illinois,Crawford
17035,Illinois,Cumberland
17037,Illinois,DeKalb
17039,Illinois,De Witt
17041,Illinois,Douglas
17043,Illinois,DuPage
17045,Illinois,Edgar
17047,Illinois,Edwards
17049,Illinois,Effingham
17051,Illinois,Fayette
17053,Illinois,Ford
17055,Illinois,Franklin
17057,Illinois,Fulton
17059,Illinois,Gallatin
17061,Illinois,Greene
17063,Illinois,Grundy
17065,Illinois,Hamilton
17067,Illinois,Hancock
17069,Illinois,Hardin
17071,Illinois,Henderson
17073,Illinois,Henry
17075,Illinois,Iroquois
17077,Illinois,Jackson
17079,Illinois,Jasper
17081,Illinois,Jefferson
17083,Illinois,Jersey
17085,Illinois,Jo Daviess
17087,Illinois,Johnson
17089,Illinois,Kane
17091,Illinois,Kankakee
17093,Illinois,Kendall
17095,Illinois,Knox
17097,Illinois,Lake
17099,Illinois,LaSalle
17101,Illinois,Lawrence
17103,Illinois,Lee
17105,Illinois,Livingston
17107,Illinois,Logan
17109,Illinois,McDonough
17111,Illinois,McHenry
17113,Illinois,McLean
17115,Illinois,Macon
17117,Illinois,Macoupin
17119,Illinois,Madison
17121,Illinois,Marion
17123,Illinois,Marshall
17125,Illinois,Mason
17127,Illinois,Massac
17129,Illinois,Menard
17131,Illinois,Mercer
17133,Illinois,Monroe
17135,Illinois,Montgomery
17137,Illinois,Morgan
17139,Illinois,Moultrie
17141,Illinois,Ogle
17143,Illinois,Peoria
17145,Illinois,Perry
17147,Illinois,Piatt
17149,Illinois,Pike
17151,Illinois,Pope
17153,Illinois,Pulaski
17155,Illinois,Putnam
17157,Illinois,Randolph
17159,Illinois,Richland
17161,Illinois,Rock Island
17163,Illinois,St. Clair
17165,Illinois,Saline
17167,Illinois,Sangamon
17169,Illinois,Schuyler
17171,Illinois,Scott
17173,Illinois,Shelby
17175,Illinois,Stark
17177,Illinois,Stephenson
17179,Illinois,Tazewell
17181,Illinois,Union
17183,Illinois,Vermilion
17185,Illinois,Wabash
17187,Illinois,Warren
17189,Illinois,Washington
17191,Illinois,Wayne
17193,Illinois,White
17195,Illinois,Whiteside
17197,Illinois,Will
17199,Illinois,Williamson
17201,Illinois,Winnebago
17203,Illinois,Woodford
20001,Kansas,Allen
20003,Kansas,Anderson
20005,Kansas,Atchison
20007,Kansas,Barber
20009,Kansas,Barton
20011,Kansas,Bourbon
20013,Kansas,Brown
20015,Kansas,Butler
20017,Kansas,Chase
20019,Kansas,Chautauqua
20021,Kansas,Cherokee
20023,Kansas,Cheyenne
20025,Kansas,Clark
20027,Kansas,Clay
20029,Kansas,Cloud
20031,Kansas,Coffey
20033,Kansas,Comanche
20035,Kansas,Cowley
20037,Kansas,Crawford
20039,Kansas,Decatur
20041,Kansas,Dickinson
20043,Kansas,Doniphan
20045,Kansas,Douglas
20047,Kansas,Edwards
20049,Kansas,Elk
20051,Kansas,Ellis
20053,Kansas,Ellsworth
20055,Kansas,Finney
20057,Kansas,Ford
20059,Kansas,Franklin
20061,Kansas,Geary
20063,Kansas,Gove
20065,Kansas,Graham
20067,Kansas,Grant
20069,Kansas,Gray
20071,Kansas,Greeley
20073,Kansas,Greenwood
20075,Kansas,Hamilton
20077,Kansas,Harper
20079,Kansas,Harvey
20081,Kansas,Haskell
20083,Kansas,Hodgeman
20085,Kansas,Jackson
20087,Kansas,Jefferson
20089,Kansas,Jewell
20091,Kansas,Johnson
20093,Kansas,Kearny
20095,Kansas,Kingman
20097,Kansas,Kiowa
20099,Kansas,Labette
20101,Kansas,Lane
20103,Kansas,Leavenworth
20105,Kansas,Lincoln
20107,Kansas,Linn
20109,Kansas,Logan
20111,Kansas,Lyon
20113,Kansas,McPherson
20115,Kansas,Marion
20117,Kansas,Marshall
20119,Kansas,Meade
20121,Kansas,Miami
20123,Kansas,Mitchell
20125,Kansas,Montgomery
20127,Kansas,Morris
20129,Kansas,Morton
20131,Kansas,Nemaha
20133,Kansas,Neosho
20135,Kansas,Ness
20137,Kansas,Norton
20139,Kansas,Osage
20141,Kansas,Osborne
20143,Kansas,Ottawa
20145,Kansas,Pawnee
20147,Kansas,Phillips
20149,Kansas,Pottawatomie
20151,Kansas,Pratt
20153,Kansas,Rawlins
20155,Kansas,Reno
20157,Kansas,Republic
20159,Kansas,Rice
20161,Kansas,Riley
20163,Kansas,Rooks
20165,Kansas,Rush
20167,Kansas,Russell
20169,Kansas,Saline
20171,Kansas,Scott
20173,Kansas,Sedgwick
20175,Kansas,Seward
20177,Kansas,Shawnee
20179,Kansas,Sheridan
20181,Kansas,Sherman
20183,Kansas,Smith
20185,Kansas,Stafford
20187,Kansas,Stanton
20189,Kansas,Stevens
20191,Kansas,Sumner
20193,Kansas,Thomas
20195,Kansas,Trego
20197,Kansas,Wabaunsee
20199,Kansas,Wallace
20201,Kansas,Washington
20203,Kansas,Wichita
20205,Kansas,Wilson
20207,Kansas,Woodson
20209,Kansas,Wyandotte
29001,Missouri,Adair
29003,Missouri,Andrew
29005,Missouri,Atchison
29007,Missouri,Audrain
29009,Missouri,Barry
29011,Missouri,Barton
29013,Missouri,Bates
29015,Missouri,Benton
29017,Missouri,Bollinger
29019,Missouri,Boone
29021,Missouri,Buchanan
29023,Missouri,Butler
29025,Missouri,Caldwell
29027,Missouri,Callaway
29029,Missouri,Camden
29031,Missouri,Cape Girardeau
29033,Missouri,Carroll
29035,Missouri,Carter
29037,Missouri,Cass
29039,Missouri,Cedar
29041,Missouri,Chariton
29043,Missouri,Christian
29045,Missouri,Clark
29047,Missouri,Clay
29049,Missouri,Clinton
29051,Missouri,Cole
29053,Missouri,Cooper
29055,Missouri,Crawford
29057,Missouri,Dade
29059,Missouri,Dallas
29061,Missouri,Daviess
29063,Missouri,DeKalb
29065,Missouri,Dent
29067,Missouri,Douglas
29069,Missouri,Dunklin
29071,Missouri,Franklin
29073,Missouri,Gasconade
29075,Missouri,Gentry
29077,Missouri,Greene
29079,Missouri,Grundy
29081,Missouri,Harrison
29083,Missouri,Henry
29085,Missouri,Hickory
29087,Missouri,Holt
29089,Missouri,Howard
29091,Missouri,Howell
29093,Missouri,Iron
29095,Missouri,Jackson
29097,Missouri,Jasper
29099,Missouri,Jefferson
29101,Missouri,Johnson
29103,Missouri,Knox
29105,Missouri,Laclede
29107,Missouri,Lafayette
29109,Missouri,Lawrence
29111,Missouri,Lewis
29113,Missouri,Lincoln
29115,Missouri,Linn
29117,Missouri,Livingston
29119,Missouri,McDonald
29121,Missouri,Macon
29123,Missouri,Madison
29125,Missouri,Maries
29127,Missouri,Marion
29129,Missouri,Mercer
29131,Missouri,Miller
29133,Missouri,Mississippi
29135,Missouri,Moniteau
29137,Missouri,Monroe
29139,Missouri,Montgomery
29141,Missouri,Morgan
29143,Missouri,New Madrid
29145,Missouri,Newton
29147,Missouri,Nodaway
29149,Missouri,Oregon
29151,Missouri,Osage
29153,Missouri,Ozark
29155,Missouri,Pemiscot
29157,Missouri,Perry
29159,Missouri,Pettis
29161,Missouri,Phelps
29163,Missouri,Pike
29165,Missouri,Platte
29167,Missouri,Polk
29169,Missouri,Pulaski
29171,Missouri,Putnam
29173,Missouri,Ralls
29175,Missouri,Randolph
29177,Missouri,Ray
29179,Missouri,Reynolds
29181,Missouri,Ripley
29183,Missouri,St. Charles
29185,Missouri,St. Clair
29186,Missouri,Ste. Genevieve
29187,Missouri,St. Francois
29189,Missouri,St. Louis
29195,Missouri,Saline
29197,Missouri,Schuyler
29199,Missouri,Scotland
29201,Missouri,Scott
29203,Missouri,Shannon
29205,Missouri,Shelby
29207,Missouri,Stoddard
29209,Missouri,Stone
29211,Missouri,Sullivan
29213,Missouri,Taney
29215,Missouri,Texas
29217,Missouri,Vernon
29219,Missouri,Warren
29221,Missouri,Washington
29223,Missouri,Wayne
29225,Missouri,Webster
29227,Missouri,Worth
29229,Missouri,Wright
29510,Missouri,St. Louis City
29511,Missouri,Kansas City
29512,Missouri,Joplin
40001,Oklahoma,Adair
40003,Oklahoma,Alfalfa
40005,Oklahoma,Atoka
40007,Oklahoma,Beaver
40009,Oklahoma,Beckham
40011,Oklahoma,Blaine
40013,Oklahoma,Bryan
40015,Oklahoma,Caddo
40017,Oklahoma,Canadian
40019,Oklahoma,Carter
40021,Oklahoma,Cherokee
40023,Oklahoma,Choctaw
40025,Oklahoma,Cimarron
40027,Oklahoma,Cleveland
40029,Oklahoma,Coal
40031,Oklahoma,Comanche
40033,Oklahoma,Cotton
40035,Oklahoma,Craig
40037,Oklahoma,Creek
40039,Oklahoma,Custer
40041,Oklahoma,Delaware
40043,Oklahoma,Dewey
40045,Oklahoma,Ellis
40047,Oklahoma,Garfield
40049,Oklahoma,Garvin
40051,Oklahoma,Grady
40053,Oklahoma,Grant
40055,Oklahoma,Greer
40057,Oklahoma,Harmon
40059,Oklahoma,Harper
40061,Oklahoma,Haskell
40063,Oklahoma,Hughes
40065,Oklahoma,Jackson
40067,Oklahoma,Jefferson
40069,Oklahoma,Johnston
40071,Oklahoma,Kay
40073,Oklahoma,Kingfisher
40075,Oklahoma,Kiowa
40077,Oklahoma,Latimer
40079,Oklahoma,Le Flore
40081,Oklahoma,Lincoln
40083,Oklahoma,Logan
40085,Oklahoma,Love
40087,Oklahoma,McClain
40089,Oklahoma,McCurtain
40091,Oklahoma,McIntosh
40093,Oklahoma,Major
40095,Oklahoma,Marshall
40097,Oklahoma,Mayes
40099,Oklahoma,Murray
40101,Oklahoma,Muskogee
40103,Oklahoma,Noble
40105,Oklahoma,Nowata
40107,Oklahoma,Okfuskee
40109,Oklahoma,Oklahoma
40111,Oklahoma,Okmulgee
40113,Oklahoma,Osage
40115,Oklahoma,Ottawa
40117,Oklahoma,Pawnee
40119,Oklahoma,Payne
40121,Oklahoma,Pittsburg
40123,Oklahoma,Pontotoc
40125,Oklahoma,Pottawatomie
40127,Oklahoma,Pushmataha
40129,Oklahoma,Roger Mills
40131,Oklahoma,Rogers
40133,Oklahoma,Seminole
40135,Oklahoma,Sequoyah
40137,Oklahoma,Stephens
40139,Oklahoma,Texas
40141,Oklahoma,Tillman
40143,Oklahoma,Tulsa
40145,Oklahoma,Wagoner
40147,Oklahoma,Washington
40149,Oklahoma,Washita
40151,Oklahoma,Woods
40153,Oklahoma,Woodward
